"Sample_ID","Centroid.X","Centroid.Y","Mass","Width","Depth","Orientation..0","Orientation..1","Orientation..2","Orientation..3","Orientation..4","Orientation..5","Orientation..6","Orientation..7","Orientation..8","Orientation..9","Leaf.weight","Leaf.Area","Leaf.Hue","Class"
51,0.0110226947442191,0.0163172749406054,2.71189326887769e-05,0.0183050554085621,0.0439272093385602,1.95858551330778e-05,1.40146204169364e-05,8.85655471199814e-06,5.5040267452603e-06,4.32829580654411e-06,3.10762452783561e-06,3.05293924672713e-06,3.2059958028131e-06,3.632715934228e-06,4.13062910027111e-06,2.08409302721307e-06,0.701377349502187,0.00451182677186041,"A"
52,0.00921349014854193,0.0194809957916806,2.16162462932122e-05,0.0136731271579885,0.0492068468658205,1.73059636500511e-05,1.20311429550121e-05,8.37302852641026e-06,5.31874969415501e-06,4.47058322873056e-06,3.50481375575258e-06,3.68992095327615e-06,4.14397313110575e-06,4.85208465479449e-06,5.74972151428496e-06,2.77879070295076e-06,0.604331289675647,0.00402184582018585,"A"
53,0.0118567585203182,0.0172439043198421,2.23228598403027e-05,0.0154187378988137,0.0485667185330962,1.86729096377257e-05,1.34479564954139e-05,7.90432795339006e-06,5.40077306554796e-06,4.25073843809917e-06,3.43122693187332e-06,3.48522342023631e-06,3.79785161562063e-06,4.19583293782747e-06,4.87498696147984e-06,2.08409302721307e-06,0.570579719534723,0.0038764929583627,"A"
54,0.0110330739929421,0.0189452997766392,2.18671378871397e-05,0.00999256301129006,0.0478184040560102,1.0452430885447e-05,1.03860806577861e-05,8.68072089480845e-06,6.22577803258424e-06,5.16112508403245e-06,4.19552470046875e-06,4.49778772865199e-06,5.06973996676126e-06,6.35140306154836e-06,8.43084251744096e-06,6.9469767573769e-07,0.463767202207183,0.00455649485149722,"A"
55,0.0103726733538872,0.0176688630453002,3.32329429658745e-05,0.0158050844312943,0.0481586298182078,1.64570512182624e-05,1.27924656113414e-05,9.77453711284817e-06,6.42951688283156e-06,4.53650545315341e-06,3.02777028046538e-06,3.41360675896545e-06,3.7555522383124e-06,4.15241676453573e-06,5.16326857371094e-06,6.9469767573769e-07,0.70824960805105,0.00424146139115095,"A"
56,0.011915110770055,0.0170874255579599,2.39692461618289e-05,0.012004651506679,0.0341027217677642,1.82370859100889e-05,1.26729812930122e-05,8.40368018566846e-06,5.4391961687651e-06,4.50965295654428e-06,3.56286130414187e-06,3.49465553898911e-06,3.61197135852349e-06,4.34394005085288e-06,5.11244560327025e-06,6.9469767573769e-07,0.486139543417775,0.00413712377257107,"A"
57,0.0109698895790063,0.0165387272894464,2.7014338659369e-05,0.0185280902926024,0.0442811135590536,1.95859043176733e-05,1.40191970852242e-05,8.8625179273769e-06,5.48837770753756e-06,4.35265642259036e-06,3.09352035880418e-06,3.06301882371371e-06,3.22787197156161e-06,3.63529208161894e-06,4.13776809146606e-06,3.47348837868845e-06,0.703389297481077,0.00451696942632264,"A"
58,0.00928695939483957,0.0193943262058155,2.15097970041914e-05,0.0142230240995535,0.0495188928420297,1.72919128338012e-05,1.20437359481895e-05,8.38700403743214e-06,5.33110593436451e-06,4.4771701436826e-06,3.50817407787989e-06,3.70020636918406e-06,4.15590546679352e-06,4.86601778925815e-06,5.75577788862204e-06,2.77879070295076e-06,0.601219124325924,0.00401904643864379,"A"
59,0.0117130438417569,0.0171940367393269,2.25231201308783e-05,0.0154756364936641,0.0483229086247523,0,1.3455728495131e-05,7.89414646425445e-06,5.39480311160174e-06,4.25948204198554e-06,3.43040232573222e-06,3.49705043975645e-06,3.8061843058318e-06,4.19730541902097e-06,4.85407336583082e-06,6.9469767573769e-07,0.568375452354389,0.00386974934879231,"A"
60,0.0111110575931459,0.0188677640341329,2.16681521583898e-05,0.00996398314891022,0.0476995728924357,0,1.03965025817873e-05,8.69373522212619e-06,6.25013850969096e-06,5.15538062895178e-06,4.20831033331163e-06,4.49255144492111e-06,5.09762943859096e-06,6.33884153817567e-06,8.43446640786645e-06,3.47348837868845e-06,0.465435428989997,0.00459063045016595,"A"
61,0.0104747312643842,0.0176535723604265,3.33640305416025e-05,0.015848228922219,0.0480279427773718,1.64912968264763e-05,1.2779335200042e-05,9.76237656897392e-06,6.41270485172987e-06,4.5404052774957e-06,3.01849828952685e-06,3.41935031093914e-06,3.74099436222895e-06,4.14253496797743e-06,5.17415400000138e-06,3.47348837868845e-06,0.710403698816071,0.00424922122254354,"A"
62,0.0120991113975448,0.016915453134437,2.38558157863949e-05,0.0119473401641515,0.0341554779290029,1.82568120590007e-05,1.26807740641898e-05,8.42351602734333e-06,5.45371799003919e-06,4.51047068517839e-06,3.57564214357079e-06,3.49345614345195e-06,3.62053253480021e-06,4.34895910262055e-06,5.13213229335415e-06,2.77879070295076e-06,0.482546049211212,0.00413506016270482,"A"
63,0.0109283874228568,0.016425684687308,2.6993815414344e-05,0.018265240957893,0.0442083994630234,1.95697531524705e-05,1.40114121641303e-05,8.88195841660451e-06,5.51068083747758e-06,4.33609941500544e-06,3.09753932379786e-06,3.0775084804854e-06,3.21917630181487e-06,3.61927791079783e-06,4.13455810191578e-06,2.77879070295076e-06,0.702521616610593,0.00450934332909551,"A"
64,0.00933948220018209,0.0193747290969969,2.15140623784507e-05,0.0139491513368605,0.0488496547662734,1.73112687088519e-05,1.20238353606912e-05,8.3749362356976e-06,5.32749156129719e-06,4.48022313155817e-06,3.50414767962108e-06,3.70900075547052e-06,4.13103654045793e-06,4.87806815408104e-06,5.75845990793876e-06,6.9469767573769e-07,0.601810889341746,0.00400309530816327,"A"
65,0.0118240620948682,0.0171648414234352,2.22428286534345e-05,0.0151114279753799,0.048898356546831,1.86716671709327e-05,1.34523874161293e-05,7.9068505395902e-06,5.40664826273121e-06,4.26935786414383e-06,3.43481657370339e-06,3.49005566779898e-06,3.80945410885196e-06,4.19780567081727e-06,4.85301735589393e-06,1.38939535147538e-06,0.565231766139675,0.00385992473141031,"A"
66,0.0112179282024131,0.0190021801356756,2.1812686997027e-05,0.00984881463294456,0.0474743447227876,1.04275457031858e-05,1.03856130567806e-05,8.68495306251881e-06,6.23383854024606e-06,5.16892910931239e-06,4.20431582167614e-06,4.49531161772635e-06,5.10874210049113e-06,6.34573599578876e-06,8.43373190401389e-06,1.38939535147538e-06,0.460790219050758,0.00455059929550389,"A"
67,0.0104764359969047,0.0179357568543018,3.33001051561788e-05,0.0156145760843874,0.0487004134134058,1.64792844616163e-05,1.27782114570818e-05,9.77450314213183e-06,6.41502284946451e-06,4.54039978938406e-06,3.02406184533276e-06,3.42196411094411e-06,3.72228337503063e-06,4.14627070472871e-06,5.15342172044573e-06,2.08409302721307e-06,0.710177718525037,0.0042522946560664,"A"
68,0.0121328601927159,0.016901408924762,2.38857054317726e-05,0.0120555542839886,0.0342687733385725,1.82322257356796e-05,1.26949597907283e-05,8.43329862107353e-06,5.44365897610381e-06,4.50425626712008e-06,3.5561645574873e-06,3.49713074680776e-06,3.62983391145043e-06,4.34629938309922e-06,5.12688683961396e-06,2.77879070295076e-06,0.483072255121086,0.00413791063926093,"A"
69,0.0110375497355515,0.0164505459511282,2.70010939008322e-05,0.0181987984396459,0.0439541084563303,1.95874640528948e-05,1.402188236962e-05,0,5.50985935747602e-06,4.34334538964245e-06,3.10501058889111e-06,3.05769827315477e-06,3.22525268344501e-06,3.63851645141111e-06,4.13065056642929e-06,1.38939535147538e-06,0.70200829268813,0.00450001568245268,"A"
70,0.00932812201055308,0.0193720094320132,2.14929011925501e-05,0.0137270705506081,0.0488940048424916,1.73088867989311e-05,1.2024126855836e-05,8.37199182906875e-06,5.32334275730791e-06,4.47554434271208e-06,3.49968758160331e-06,3.7058765610832e-06,4.13802964514097e-06,4.86772327205209e-06,5.75836244185485e-06,6.9469767573769e-07,0.600798735877535,0.00400823321506159,"A"
71,0.0118729426558726,0.0172625993567818,2.22894773244812e-05,0.0153849714722156,0.0482660695932807,1.86831660847405e-05,1.34481750473027e-05,7.89085825174588e-06,5.4110074211767e-06,4.26162928303148e-06,3.42826988174678e-06,3.50131678659245e-06,3.82351367829261e-06,4.20120906420047e-06,4.84595901909914e-06,2.08409302721307e-06,0.56744380740382,0.00387325674119636,"A"
72,0.0110344061799399,0.0188809323550844,2.19253213183944e-05,0.00984209855285366,0.0481988775309763,1.0432955522396e-05,1.03842354712896e-05,8.68259317451433e-06,6.23710132681969e-06,5.16004510702575e-06,4.18374610137662e-06,4.49261077210262e-06,5.08047249009326e-06,6.33751376250803e-06,8.41659218401856e-06,2.08409302721307e-06,0.463321787483435,0.00458974868846827,"A"
73,0.0105916844586788,0.0176630175603365,3.36859351045207e-05,0.0156183864316691,0.0479079712884035,1.64691624386017e-05,1.2783078786877e-05,9.77555248297103e-06,6.42099836099213e-06,4.54039318975614e-06,3.03829342191792e-06,3.42518125588045e-06,3.74490280082241e-06,4.13261864494465e-06,5.13519042199251e-06,2.77879070295076e-06,0.711418927915301,0.00423682453981414,"A"
